subdivision,previous_state_id,current_state_id,previous_regime_id,current_regime_id,regime_changed,months_in_previous_regime
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_01,andaman_nicobar_islands_1917_02,REGIME_01,REGIME_01,False,6
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_02,andaman_nicobar_islands_1917_03,REGIME_01,REGIME_01,False,7
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_03,andaman_nicobar_islands_1917_04,REGIME_01,REGIME_02,True,8
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_04,andaman_nicobar_islands_1917_05,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_05,andaman_nicobar_islands_1917_06,REGIME_02,REGIME_02,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_06,andaman_nicobar_islands_1917_07,REGIME_02,REGIME_01,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_07,andaman_nicobar_islands_1917_08,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_08,andaman_nicobar_islands_1917_09,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_09,andaman_nicobar_islands_1917_10,REGIME_01,REGIME_02,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_10,andaman_nicobar_islands_1917_11,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_11,andaman_nicobar_islands_1917_12,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1917_12,andaman_nicobar_islands_1918_01,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_01,andaman_nicobar_islands_1918_02,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_02,andaman_nicobar_islands_1918_03,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_03,andaman_nicobar_islands_1918_04,REGIME_01,REGIME_02,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_04,andaman_nicobar_islands_1918_05,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_05,andaman_nicobar_islands_1918_06,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_06,andaman_nicobar_islands_1918_07,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_07,andaman_nicobar_islands_1918_08,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_08,andaman_nicobar_islands_1918_09,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_09,andaman_nicobar_islands_1918_10,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_10,andaman_nicobar_islands_1918_11,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_11,andaman_nicobar_islands_1918_12,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1918_12,andaman_nicobar_islands_1919_01,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_01,andaman_nicobar_islands_1919_02,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_02,andaman_nicobar_islands_1919_03,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_03,andaman_nicobar_islands_1919_04,REGIME_01,REGIME_01,False,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_04,andaman_nicobar_islands_1919_05,REGIME_01,REGIME_02,True,6
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_05,andaman_nicobar_islands_1919_06,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_06,andaman_nicobar_islands_1919_07,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_07,andaman_nicobar_islands_1919_08,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1919_08,andaman_nicobar_islands_1919_09,REGIME_02,REGIME_02,False,2
