threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.01,756,31,575,181,544,0,31,0.05391304347826087,1.0,0.10231023102310231,0.7605820105820106,isotonic_probability
0.015,756,31,575,181,544,0,31,0.05391304347826087,1.0,0.10231023102310231,0.7605820105820106,isotonic_probability
0.02,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.025,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.03,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.035,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.04,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.045,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.05,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.055,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.06,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.065,756,31,504,252,473,0,31,0.061507936507936505,1.0,0.11588785046728972,0.6666666666666666,isotonic_probability
0.07,756,31,476,280,445,0,31,0.06512605042016807,1.0,0.1222879684418146,0.6296296296296297,isotonic_probability
0.075,756,31,476,280,445,0,31,0.06512605042016807,1.0,0.1222879684418146,0.6296296296296297,isotonic_probability
0.08,756,31,458,298,427,0,31,0.06768558951965066,1.0,0.12678936605316973,0.6058201058201058,isotonic_probability
0.085,756,31,457,299,426,0,31,0.06783369803063458,1.0,0.12704918032786885,0.6044973544973545,isotonic_probability
0.09,756,31,457,299,426,0,31,0.06783369803063458,1.0,0.12704918032786885,0.6044973544973545,isotonic_probability
0.095,756,31,456,300,425,0,31,0.06798245614035088,1.0,0.1273100616016427,0.6031746031746031,isotonic_probability
0.1,756,31,456,300,425,0,31,0.06798245614035088,1.0,0.1273100616016427,0.6031746031746031,isotonic_probability
0.105,756,31,262,484,241,10,21,0.08015267175572519,0.6774193548387096,0.14334470989761092,0.34656084656084657,isotonic_probability
0.11,756,31,262,484,241,10,21,0.08015267175572519,0.6774193548387096,0.14334470989761092,0.34656084656084657,isotonic_probability
0.115,756,31,261,485,240,10,21,0.08045977011494253,0.6774193548387096,0.14383561643835616,0.34523809523809523,isotonic_probability
0.12,756,31,261,485,240,10,21,0.08045977011494253,0.6774193548387096,0.14383561643835616,0.34523809523809523,isotonic_probability
0.125,756,31,261,485,240,10,21,0.08045977011494253,0.6774193548387096,0.14383561643835616,0.34523809523809523,isotonic_probability
0.13,756,31,261,485,240,10,21,0.08045977011494253,0.6774193548387096,0.14383561643835616,0.34523809523809523,isotonic_probability
0.135,756,31,261,485,240,10,21,0.08045977011494253,0.6774193548387096,0.14383561643835616,0.34523809523809523,isotonic_probability
0.14,756,31,183,555,170,18,13,0.07103825136612021,0.41935483870967744,0.12149532710280374,0.24206349206349206,isotonic_probability
0.145,756,31,181,557,168,18,13,0.0718232044198895,0.41935483870967744,0.12264150943396226,0.23941798941798942,isotonic_probability
0.15,756,31,180,558,167,18,13,0.07222222222222222,0.41935483870967744,0.12322274881516587,0.23809523809523808,isotonic_probability
0.155,756,31,180,558,167,18,13,0.07222222222222222,0.41935483870967744,0.12322274881516587,0.23809523809523808,isotonic_probability
0.16,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.165,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.17,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.175,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.18,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.185,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.19,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.195,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.2,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.205,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.21,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.215,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
