threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.45,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.455,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.46,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.465,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.47,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.475,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.48,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.485,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.49,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.495,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.5,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.01,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.015,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.02,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.025,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.03,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.035,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.04,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.045,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.05,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.055,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.06,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.065,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.07,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.075,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
