subdivision,season,years_observed,observations,average_rainfall_mm,rainfall_std_mm,average_zscore,minimum_zscore,dry_months,dry_month_pct
Madhya Maharashtra,POST_MONSOON,117,351,33.94871794871795,43.606073525962515,1.0813603890134627e-17,-1.41905575319258,21,5.982905982905983
Madhya Maharashtra,PRE_MONSOON,117,351,11.793162393162392,16.4808966113362,5.574837837327175e-17,-1.0111288486087362,1,0.2849002849002849
Madhya Maharashtra,WINTER,117,234,2.2256410256410253,5.157521343761641,-1.9927079929169476e-17,-0.5005820488450531,0,0.0
Matathwada,MONSOON,117,468,165.9448717948718,79.29717339300676,-8.718097469011646e-17,-2.0802258569564684,77,16.45299145299145
Matathwada,POST_MONSOON,117,351,29.524786324786326,42.15535669601787,2.6094985621531457e-17,-1.196469431646283,16,4.5584045584045585
Matathwada,PRE_MONSOON,117,351,10.022792022792023,15.967931940863549,-1.6764051368983845e-17,-0.7509141688888266,0,0.0
Matathwada,WINTER,117,234,4.654700854700855,9.647330531852557,-1.7554808509030252e-17,-0.5072915134607713,0,0.0
Naga Mani Mizo Tripura,MONSOON,117,468,402.1431623931624,123.31651697099595,-2.1824897065280855e-17,-2.4187663342899746,58,12.393162393162394
Naga Mani Mizo Tripura,POST_MONSOON,117,351,78.36894586894587,89.77972872552297,9.109522253334617e-17,-1.7637131645057158,16,4.5584045584045585
Naga Mani Mizo Tripura,PRE_MONSOON,117,351,179.59259259259258,122.4650959106394,9.489085680556894e-19,-1.9322757735346892,47,13.390313390313391
Naga Mani Mizo Tripura,WINTER,117,234,25.13931623931624,31.059259315541244,6.310241977570334e-17,-0.9704975912981072,0,0.0
North Interior Karnataka,MONSOON,117,468,125.56880341880341,52.65590137622617,1.8219044506669235e-16,-2.02083032342125,78,16.666666666666664
North Interior Karnataka,POST_MONSOON,117,351,43.52507122507122,53.8954357827191,-3.479331416204194e-17,-1.662376270453476,18,5.128205128205128
North Interior Karnataka,PRE_MONSOON,117,351,26.083760683760683,25.13683452260546,-4.8433874827842476e-17,-1.6525336110657318,32,9.116809116809117
North Interior Karnataka,WINTER,117,234,3.0427350427350426,5.825580944919173,4.364979413056171e-17,-0.5673632117090451,0,0.0
Orissa,MONSOON,117,468,289.2070512820513,101.42812949761492,-9.726312822570816e-17,-2.0690061329626164,74,15.81196581196581
Orissa,POST_MONSOON,117,351,49.057834757834755,67.55526913898863,-5.610421908629263e-17,-1.409103668094441,17,4.843304843304843
Orissa,PRE_MONSOON,117,351,39.923646723646726,34.613050129031365,7.069368832014885e-17,-1.4013567143034706,22,6.267806267806268
Orissa,WINTER,117,234,15.838461538461537,19.431264777205364,-3.036507417778206e-17,-0.8826162319662723,0,0.0
Punjab,MONSOON,117,468,114.7491452991453,84.52635296854464,8.409702184393547e-17,-2.100265933841432,54,11.538461538461538
Punjab,POST_MONSOON,117,351,10.124216524216523,25.207334769271554,1.012169139259402e-17,-0.8218617501502844,0,0.0
Punjab,PRE_MONSOON,117,351,16.811396011396013,19.03958541084896,6.484208548380544e-18,-1.0411826456157036,7,1.9943019943019942
Punjab,WINTER,117,234,25.819230769230767,22.811717065079666,8.635067969306773e-17,-1.1346041746209257,31,13.247863247863249
Rayalseema,MONSOON,117,468,100.22564102564102,53.12220230310985,-6.073014835556412e-17,-1.8868163944714875,64,13.675213675213676
Rayalseema,POST_MONSOON,117,351,90.15242165242165,74.76143993571621,-2.3090108489355108e-17,-1.8638275259671244,28,7.977207977207977
Rayalseema,PRE_MONSOON,117,351,26.081766381766382,30.83215961597997,-3.937970557431111e-17,-1.245743857571875,13,3.7037037037037033
Rayalseema,WINTER,117,234,7.691452991452992,15.818664331333238,-5.5036696947229984e-17,-0.5167405117033635,0,0.0
Saurashtra & Kutch,MONSOON,117,468,116.17222222222222,104.03694841611023,-8.148752328178232e-17,-1.5637915355216443,42,8.974358974358974
Saurashtra & Kutch,POST_MONSOON,117,351,7.316524216524217,20.91642308669326,4.7979189472315795e-17,-0.4905596756153217,0,0.0
Saurashtra & Kutch,PRE_MONSOON,117,351,2.3444444444444446,10.731678961529427,4.649651983472878e-17,-0.2791814256087172,0,0.0
Saurashtra & Kutch,WINTER,117,234,1.3542735042735041,3.4306374778273363,5.812064979341098e-17,-0.4751109291386094,0,0.0
South Interior Karnataka,MONSOON,117,468,170.68482905982907,68.2085104972493,1.7175245081807978e-16,-2.5512304629779057,75,16.025641025641026
South Interior Karnataka,POST_MONSOON,117,351,67.94131054131054,69.11443907435904,-8.793219397316055e-17,-1.970850028734455,31,8.831908831908832
South Interior Karnataka,PRE_MONSOON,117,351,47.97834757834758,43.34210211269656,-5.5036696947229984e-17,-2.1730848240263625,37,10.541310541310542
South Interior Karnataka,WINTER,117,234,3.523931623931624,6.30571169073207,5.2664425527090757e-17,-0.6187236639228543,0,0.0
Sub Himalayan West Bengal & Sikkim,MONSOON,117,468,531.1732905982906,165.88743220336053,-3.143259631684471e-17,-2.1900299953659785,70,14.957264957264957
Sub Himalayan West Bengal & Sikkim,POST_MONSOON,117,351,55.252421652421646,82.23322956152725,-1.2335811384723962e-16,-1.4928210618715156,18,5.128205128205128
Sub Himalayan West Bengal & Sikkim,PRE_MONSOON,117,351,141.11880341880342,108.69771631058087,-2.375434448699409e-16,-1.918322627935188,62,17.663817663817664
Sub Himalayan West Bengal & Sikkim,WINTER,117,234,18.365811965811968,18.7622059264441,-1.3284719952779651e-17,-1.1559874338288083,14,5.982905982905983
Tamil Nadu,MONSOON,117,468,82.72863247863248,39.7301135075779,9.062076824931833e-17,-2.17285373607289,67,14.316239316239315
Tamil Nadu,POST_MONSOON,117,351,146.16011396011396,88.20668393196,-2.621359919253842e-16,-1.7757941847753795,49,13.96011396011396
Tamil Nadu,PRE_MONSOON,117,351,44.70997150997151,34.46170442264097,8.081537971274288e-17,-1.59359994735038,27,7.6923076923076925
Tamil Nadu,WINTER,117,234,18.48076923076923,26.963038081449763,-4.554761126667309e-17,-0.7377447796699144,0,0.0
Telangana,MONSOON,117,468,195.0561965811966,89.2715652366816,-1.6605899940974564e-18,-1.9861732778749213,76,16.23931623931624
Telangana,POST_MONSOON,117,351,33.173789173789174,48.270824635898975,5.614375694329496e-17,-1.2514235076802491,10,2.849002849002849
Telangana,PRE_MONSOON,117,351,18.704273504273505,20.299279620556817,-4.3807945558570994e-17,-1.1215675221845205,17,4.843304843304843
Telangana,WINTER,117,234,8.552991452991453,14.485340066761017,1.5656991372918874e-17,-0.6289670918638062,0,0.0
Uttarakhand,MONSOON,117,468,282.92542735042736,143.31041335822306,2.1943510636287815e-18,-2.997092064156776,68,14.529914529914532
Uttarakhand,POST_MONSOON,117,351,22.81111111111111,38.68828640250049,-3.036507417778206e-17,-0.8962570814895071,0,0.0
Uttarakhand,PRE_MONSOON,117,351,49.44387464387464,36.50252924037238,-6.452578262778688e-17,-1.4272948714479357,51,14.529914529914532
Uttarakhand,WINTER,117,234,57.98504273504273,42.61675493360711,6.452578262778688e-17,-1.425326252868591,48,20.51282051282051
Vidarbha,MONSOON,117,468,240.77692307692308,108.48857043944332,6.642359976389826e-18,-2.5943324519523734,70,14.957264957264957
Vidarbha,POST_MONSOON,117,351,25.164387464387467,37.64228719494319,-1.0849187961436715e-16,-1.111916297932095,12,3.418803418803419
Vidarbha,PRE_MONSOON,117,351,10.911111111111111,14.374585377043221,-6.990293118010245e-17,-0.795542322147957,0,0.0
Vidarbha,WINTER,117,234,11.106410256410257,16.12662612948653,-1.2667929383543452e-16,-0.6911968418583819,0,0.0
West Madhya Pradesh,MONSOON,117,468,216.11602564102566,120.90795895722815,1.3003012721638118e-16,-2.674147162877764,82,17.52136752136752
West Madhya Pradesh,POST_MONSOON,117,351,15.46951566951567,26.530248171671285,1.9927079929169476e-17,-0.8314139103335974,0,0.0
West Madhya Pradesh,PRE_MONSOON,117,351,5.041880341880342,8.374156564603876,4.341256698854779e-17,-0.7437301951625637,0,0.0
