subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal
Andaman & Nicobar Islands,1918,SEP,1918-09-01,303.3,-0.8999329729864357,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1918,OCT,1918-10-01,227.0,-0.6382364783734088,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1918,NOV,1918-11-01,366.9,1.1473623608429928,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1918,DEC,1918-12-01,175.0,0.133617082483859,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1919,JAN,1919-01-01,10.2,-0.5927162292036761,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,FEB,1919-02-01,18.0,-0.2540507170104903,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,MAR,1919-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,APR,1919-04-01,35.5,-0.5538245057199238,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,MAY,1919-05-01,283.9,-0.4743860896361416,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,JUN,1919-06-01,542.5,0.4941007480121943,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1919,JUL,1919-07-01,246.5,-1.01959780687624,DRY,1,1,0
Andaman & Nicobar Islands,1919,AUG,1919-08-01,259.8,-0.9947960553692194,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1919,SEP,1919-09-01,170.7,-1.7704383425328256,SEVERE_DRY,1,2,0
Andaman & Nicobar Islands,1919,OCT,1919-10-01,186.2,-1.0516421640534483,DRY,1,2,0
Andaman & Nicobar Islands,1919,NOV,1919-11-01,340.4,0.9202583150864012,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1919,DEC,1919-12-01,258.4,0.7691983969246367,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,JAN,1920-01-01,122.3,0.911137703562065,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,FEB,1920-02-01,7.4,-0.5320826226473395,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1920,MAR,1920-03-01,3.1,-0.588683343714911,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1920,APR,1920-04-01,13.0,-0.8960072536496285,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1920,MAY,1920-05-01,237.4,-0.7853833717650021,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1920,JUN,1920-06-01,546.9,0.5241221849096687,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,JUL,1920-07-01,294.4,-0.6994430504114239,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1920,AUG,1920-08-01,467.4,0.4929515932382328,NORMAL_OR_WET,0,0,0
