subdivision,year,month,rainfall_mm,date,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_stress,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation,rainfall_zscore,rainfall_condition
West Rajasthan,1963,MAR,5.7,1963-03-01,6.399999999999915,8.700000000000184,260.00000000000006,4.011111111111111,1.688888888888889,42.10526315789474,0.0,0,0,4.011111111111111,7.750392401387102,0.0,59.0,117,1.9322307925895823,0.21791011363329496,NORMAL_OR_WET
West Rajasthan,1963,APR,1.5,1963-04-01,7.799999999999915,10.200000000000184,259.20000000000005,3.5418803418803417,-2.0418803418803417,-57.6496138996139,2.0418803418803417,0,1,3.5418803418803417,5.872939687393819,0.0,36.1,117,1.658141755369394,-0.34767602777586987,BELOW_NORMAL
West Rajasthan,1963,MAY,3.3,1963-05-01,10.499999999999917,13.300000000000184,260.40000000000003,9.53931623931624,-6.239316239316239,-65.4063255980647,6.239316239316239,0,1,9.53931623931624,10.881096842412454,0.0,56.8,117,1.140657943340433,-0.5734087592159429,BELOW_NORMAL
West Rajasthan,1963,JUN,6.3,1963-06-01,11.099999999999913,17.500000000000185,263.40000000000003,29.13162393162393,-22.83162393162393,-78.37401713413918,22.83162393162393,0,1,29.13162393162393,23.144890884690945,0.4,143.2,117,0.7944936725468961,-0.9864649630612766,BELOW_NORMAL
West Rajasthan,1963,JUL,23.3,1963-07-01,32.89999999999991,40.70000000000019,160.20000000000005,96.1059829059829,-72.8059829059829,-75.75593184162783,72.8059829059829,0,1,96.1059829059829,53.445688337108095,2.4,234.6,117,0.5561119788909722,-1.3622424029186406,DRY
West Rajasthan,1963,AUG,96.4,1963-08-01,125.99999999999991,136.5000000000002,194.50000000000009,94.94786324786324,1.4521367521367663,1.529404351465957,0.0,0,0,94.94786324786324,66.57975719894743,0.6,325.3,117,0.7012243869579212,0.02181048434582942,NORMAL_OR_WET
West Rajasthan,1963,SEP,27.0,1963-09-01,146.69999999999993,157.8000000000002,166.50000000000006,39.92820512820513,-12.928205128205128,-32.37862830721808,12.928205128205128,0,1,39.92820512820513,38.93558749363879,0.2,203.0,117,0.975139938512659,-0.33204083873955437,BELOW_NORMAL
West Rajasthan,1963,OCT,4.9,1963-10-01,128.2999999999999,161.20000000000022,171.40000000000003,5.194871794871794,-0.2948717948717938,-5.676209279368194,0.2948717948717938,0,0,5.194871794871794,11.70838077495572,0.0,78.3,117,2.2538344038661062,-0.025184677586035292,BELOW_NORMAL
West Rajasthan,1963,NOV,5.1,1963-11-01,36.9999999999999,163.0000000000002,176.3,1.6435897435897435,3.456410256410256,210.2964118564742,0.0,0,0,1.6435897435897435,4.502573681937167,0.0,34.8,117,2.7394754071068563,0.7676521253336127,NORMAL_OR_WET
West Rajasthan,1963,DEC,0.3,1963-12-01,10.2999999999999,157.0000000000002,174.50000000000003,1.8854700854700852,-1.5854700854700854,-84.08884859474162,1.5854700854700854,0,1,1.8854700854700852,3.800210179243378,0.0,21.7,117,2.015523984458184,-0.4172058940660362,BELOW_NORMAL
