subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Assam & Meghalaya,2007,3.0,1,23.5,98.69999999999987,232.0999999999996,1935.0,79.22136752136751,-55.72136752136751,-70.33628585916344,55.72136752136751,0,-1.151180961644726,0,2007-03-01,73.7,1.5,10.7,85.89999999999989,460.8999999999995,1932.3,63.0,1.0,6.123233995736766e-17,0,MAR,0,0.6954219,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2008,6.0,2,327.4,583.1000000000001,677.1999999999999,2180.8,444.7726495726496,-117.3726495726496,-26.3893586274751,117.3726495726496,0,-0.948519934153042,0,2008-06-01,200.8,54.9,49.6,305.30000000000024,359.9,2299.7,151.20000000000002,1.2246467991473532e-16,-1.0,0,JUN,0,0.69526774,1,FALSE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2014,3.0,1,37.7,64.50000000000136,283.10000000000093,2411.9,43.96666666666667,-6.266666666666666,-14.253222137983318,6.266666666666666,0,-0.200557634091861,0,2014-03-01,26.6,0.2,2.7,29.500000000001364,553.4000000000009,2406.3,23.9,1.0,6.123233995736766e-17,0,MAR,0,0.69510657,1,FALSE_POSITIVE
Konkan & Goa,2003,6.0,2,865.3,877.7000000000004,879.6000000000001,2462.599999999999,690.8752136752137,174.42478632478628,25.24693068620998,0.0,0,0.8884286208898164,0,2003-06-01,11.2,1.2,0.8,13.200000000000454,14.600000000000229,2539.299999999999,10.4,1.2246467991473532e-16,-1.0,0,JUN,0,0.69470894,1,FALSE_POSITIVE
Assam & Meghalaya,2000,2.0,0,13.7,36.499999999999886,456.0999999999996,2625.4,31.363247863247864,-17.663247863247864,-56.31829949584413,17.663247863247864,0,-0.8475565816173307,0,2000-02-01,20.5,2.3,14.1,36.899999999999885,929.8999999999996,2612.2000000000003,6.4,0.8660254037844386,0.5000000000000001,0,FEB,0,0.69444686,1,FALSE_POSITIVE
Konkan & Goa,2001,5.0,1,59.6,62.40000000000045,74.20000000000023,3008.8,33.36239316239316,26.23760683760684,78.64425885125789,0.0,0,0.4530825362316499,0,2001-05-01,2.8,0.0,0.0,2.8000000000004546,16.200000000000227,3139.499999999999,2.8,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.6934155,1,FALSE_POSITIVE
Konkan & Goa,2007,6.0,2,939.3,976.0000000000002,976.1000000000006,3553.499999999999,690.8752136752137,248.42478632478628,35.95798219525833,0.0,0,1.26534591189586,0,2007-06-01,33.4,3.3,0.1,36.80000000000023,36.80000000000068,3297.299999999999,33.3,1.2246467991473532e-16,-1.0,0,JUN,0,0.6932872,1,FALSE_POSITIVE
Andaman & Nicobar Islands,2005,5.0,1,305.3,376.6999999999997,377.0999999999992,2163.1,354.8297297297297,-49.529729729729695,-13.958731633748952,49.529729729729695,0,-0.3312604587209238,0,2005-05-01,51.1,20.3,0.0,71.39999999999966,241.69999999999897,2362.9,51.1,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.69165623,1,FALSE_POSITIVE
Konkan & Goa,2004,5.0,1,46.9,57.30000000000045,57.30000000000023,2885.199999999999,33.36239316239316,13.537606837606836,40.57744530409387,0.0,0,0.2337733497743534,0,2004-05-01,10.4,0.0,0.0,10.400000000000457,12.300000000000228,2849.499999999999,10.4,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.6903786,1,FALSE_POSITIVE
Coastal Karnataka,2004,5.0,1,329.2,360.19999999999953,360.2000000000004,3372.5,122.5974358974359,206.6025641025641,168.52111350469536,0.0,0,1.661634458283772,0,2004-05-01,24.7,6.3,0.0,30.999999999999545,41.70000000000034,3053.5,24.7,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.6903236,1,FALSE_POSITIVE
Orissa,2000,6.0,2,233.7,329.6999999999993,365.0,1456.8,210.45042735042736,23.249572649572627,11.047529312382466,0.0,0,0.3018821081057429,1,2000-06-01,74.7,21.3,1.1,97.09999999999933,131.3,1446.0,73.60000000000001,1.2246467991473532e-16,-1.0,0,JUN,0,0.6902753,1,FALSE_POSITIVE
Kerala,2009,5.0,1,191.6,323.1999999999994,345.00000000000034,2414.8,229.98376068376064,-38.38376068376067,-16.68976999490859,38.38376068376067,0,-0.2593305705569115,0,2009-05-01,69.0,62.6,1.5,133.09999999999943,208.80000000000035,2304.4,67.5,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.689602,1,FALSE_POSITIVE
Konkan & Goa,2000,5.0,1,190.3,191.20000000000047,192.40000000000023,3037.3999999999987,33.36239316239316,156.93760683760684,470.4027258287648,0.0,0,2.710067628355165,0,2000-05-01,0.9,0.0,0.0,0.9000000000004548,2.800000000000227,2914.199999999999,0.9,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.6892612,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2017,3.0,1,125.3,138.00000000000017,344.7000000000001,1994.8,77.44273504273504,47.85726495726496,61.79697156983931,0.0,0,0.793335851110167,0,2017-03-01,11.9,0.8,1.7,14.40000000000017,515.4000000000001,1927.1,10.2,1.0,6.123233995736766e-17,0,MAR,0,0.6892451,1,FALSE_POSITIVE
Andaman & Nicobar Islands,2005,3.0,1,20.3,20.29999999999966,414.4999999999992,2353.4,31.59454545454545,-11.294545454545451,-35.7484030615181,11.294545454545451,0,-0.2333397735551956,0,2005-03-01,0.0,0.0,0.4,0.3999999999996589,674.899999999999,2369.6,-0.4,1.0,6.123233995736766e-17,0,MAR,0,0.6886394,1,FALSE_POSITIVE
Lakshadweep,2001,5.0,1,187.3,291.9000000000002,327.6999999999999,1330.6999999999998,162.97543859649124,24.324561403508767,14.925292800551148,0.0,0,0.2239615480971528,0,2001-05-01,104.6,0.0,20.4,125.00000000000016,196.69999999999987,1347.9999999999998,84.19999999999999,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.688488,1,FALSE_POSITIVE
Gangetic West Bengal,2004,6.0,2,287.5,423.2000000000003,443.0000000000001,1458.8000000000002,246.1025641025641,41.39743589743589,16.8212127526568,0.0,0,0.4174249148394819,0,2004-06-01,72.9,62.8,14.9,150.60000000000025,173.2000000000001,1451.8,58.00000000000001,1.2246467991473532e-16,-1.0,0,JUN,0,0.68836844,1,FALSE_POSITIVE
Chhattisgarh,2013,6.0,2,263.6,315.1000000000005,342.4999999999999,1505.8000000000002,197.85982905982905,65.74017094017097,33.2256280886063,0.0,0,0.7354140803821846,0,2013-06-01,5.7,45.8,4.9,56.400000000000446,83.89999999999988,1389.5,0.7999999999999998,1.2246467991473532e-16,-1.0,0,JUN,0,0.6880335,1,FALSE_POSITIVE
Orissa,2015,6.0,2,238.6,338.7999999999996,367.69999999999993,1646.1999999999998,210.45042735042736,28.14957264957264,13.37586860904774,0.0,0,0.3655057433447043,0,2015-06-01,32.6,67.6,10.5,110.6999999999996,129.99999999999994,1499.8,22.1,1.2246467991473532e-16,-1.0,0,JUN,0,0.6878286,1,FALSE_POSITIVE
East Madhya Pradesh,2000,6.0,2,167.5,174.99999999999957,175.20000000000067,1469.1000000000004,140.4820512820513,27.01794871794872,19.23231364532379,0.0,0,0.342892754999939,0,2000-06-01,7.4,0.1,0.1,7.599999999999546,7.700000000000682,1424.1000000000004,7.300000000000001,1.2246467991473532e-16,-1.0,0,JUN,0,0.68505883,1,FALSE_POSITIVE
Coastal Karnataka,2009,7.0,2,1778.9,2329.9,2389.6000000000004,3784.0,1121.2948717948718,657.6051282051283,58.64693977887288,0.0,0,2.2270851473979145,0,2009-07-01,450.3,100.7,24.5,575.4999999999994,611.1000000000005,2692.9,425.8,-0.4999999999999997,-0.8660254037844388,0,JUL,0,0.68379194,1,FALSE_POSITIVE
