subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Vidarbha,2008,12.0,3,0.1,25.399999999999544,701.7000000000004,866.6000000000003,7.792307692307693,-7.692307692307693,-98.7166831194472,7.692307692307693,0,-0.431180284923504,0,2008-12-01,2.9,22.4,160.8,186.0999999999996,839.5000000000003,866.5000000000002,-157.9,-2.4492935982947064e-16,1.0,0,DEC,0,0.013937283,0,TRUE_NEGATIVE
Saurashtra & Kutch,2001,2.0,0,0.0,0.0999999999998863,6.800000000000227,285.99999999999994,1.588034188034188,-1.588034188034188,-100.0,1.588034188034188,0,-0.3746404279887505,0,2001-02-01,0.0,0.1,0.0,0.0999999999998863,53.00000000000023,285.99999999999994,0.0,0.8660254037844386,0.5000000000000001,0,FEB,0,0.01393161,0,TRUE_NEGATIVE
Jharkhand,2011,12.0,3,0.1,23.39999999999983,933.0000000000005,1374.6,4.856410256410257,-4.756410256410257,-97.94086589229146,4.756410256410257,0,-0.5253507783209762,0,2011-12-01,0.0,23.3,324.6,347.89999999999986,1281.9,1394.5,-324.6,-2.4492935982947064e-16,1.0,0,DEC,0,0.013923843,0,TRUE_NEGATIVE
Gujarat Region,2006,11.0,3,2.9,152.70000000000022,1476.9999999999998,1477.9999999999995,6.81025641025641,-3.91025641025641,-57.41716867469879,3.91025641025641,0,-0.2436266757024963,0,2006-11-01,9.2,140.6,624.8,774.6000000000001,1474.2999999999995,1475.0999999999997,-615.5999999999999,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013919922,0,TRUE_NEGATIVE
Telangana,2011,12.0,3,0.0,18.100000000000115,619.7999999999995,753.1,5.057264957264958,-5.057264957264958,-100.0,5.057264957264958,0,-0.4905382924754191,0,2011-12-01,4.2,13.9,107.6,125.7000000000001,703.6999999999996,762.4,-103.4,-2.4492935982947064e-16,1.0,0,DEC,0,0.013894863,0,TRUE_NEGATIVE
West Rajasthan,2003,11.0,3,0.0,14.099999999999971,341.30000000000024,374.0000000000001,1.6435897435897435,-1.6435897435897435,-100.0,1.6435897435897435,0,-0.3650333919427639,0,2003-11-01,0.2,13.9,93.6,107.69999999999996,343.10000000000025,376.5000000000001,-93.4,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013881456,0,TRUE_NEGATIVE
Vidarbha,2016,12.0,3,0.0,74.99999999999949,954.8000000000004,1163.8,7.792307692307693,-7.792307692307693,-100.0,7.792307692307693,0,-0.4367856286275096,0,2016-12-01,0.0,75.0,227.8,302.7999999999995,1120.3000000000004,1164.0,-227.8,-2.4492935982947064e-16,1.0,0,DEC,0,0.013860754,0,TRUE_NEGATIVE
Bihar,2003,12.0,3,3.0,145.2000000000004,996.4999999999995,1353.8,3.631623931623932,-0.6316239316239316,-17.392327606495645,0.6316239316239316,0,-0.0869750008811268,0,2003-12-01,0.2,142.0,183.9,326.1000000000004,1224.4,1351.5,-183.7,-2.4492935982947064e-16,1.0,0,DEC,0,0.013846918,0,TRUE_NEGATIVE
Bihar,2015,11.0,3,0.0,112.1000000000004,752.6999999999995,873.9,7.055555555555555,-7.055555555555555,-100.0,7.055555555555555,0,-0.5002887134681807,0,2015-11-01,10.4,101.7,287.0,399.1000000000004,792.1999999999995,873.9,-276.6,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.0138384225,0,TRUE_NEGATIVE
East Rajasthan,2016,10.0,3,32.6,458.4,855.8,861.9000000000002,14.394017094017093,18.205982905982907,126.482987946084,0.0,0,0.7310240959989452,0,2016-10-01,40.2,385.6,326.2,752.0,823.1999999999999,834.3000000000002,-286.0,-0.8660254037844386,0.5000000000000001,0,OCT,0,0.01379205,0,TRUE_NEGATIVE
Saurashtra & Kutch,2012,1.0,0,0.0,0.0999999999998863,502.3000000000001,742.3999999999999,1.1205128205128203,-1.1205128205128203,-100.0,1.1205128205128203,0,-0.4751109291386094,0,2012-01-01,0.0,0.1,1.2,1.2999999999998864,715.0000000000001,742.3999999999999,-1.2,0.4999999999999999,0.8660254037844387,0,JAN,0,0.013767457,0,TRUE_NEGATIVE
