year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
-0.11737562,0.0,-0.5334365,0.04984839,-0.07329692,-0.02872798,0.29214996,-0.10711754,0.050901357,-0.054952998,0.002053416,5.9218237e-05,0.01287738,-0.14816865,-0.16792463,-0.060214367,-0.33297047,-0.29248092,0.23712146,-0.07662102,-0.048494317,-1.5150747
-0.25359356,0.0,-0.034117993,-0.083886944,0.027188908,0.02928882,-0.09819138,-0.9570084,0.025739694,-0.0025126084,0.0040683574,5.8571168e-05,-0.22559637,0.060932018,-0.010392554,0.023913048,0.037321758,0.015048058,-0.08019442,-0.03859512,-0.051814776,-1.2679573
-0.34582946,0.0,-0.0357865,-0.02958071,0.0009525004,0.04384085,-0.08424787,-0.21523133,-0.036593076,-0.13405396,0.004022742,5.8571168e-05,-0.16998497,-0.12550414,0.011284345,0.037234515,0.06536807,0.06840659,-0.074647844,-0.019482533,-0.060529664,-1.2769012
-0.18724938,0.0,-0.3653606,-0.06292195,-0.24469028,-0.22639616,0.3636271,0.05666741,0.012794067,-0.11642564,0.0018960873,3.9923336e-05,0.02642152,-0.03802008,-0.24945852,-0.077047534,-0.2591138,-0.3372483,0.26866975,-0.06846013,-0.07435614,-1.3291757
-0.23361489,0.0,-0.3544028,-0.06929641,0.04235236,-0.027349193,-0.3264802,-0.8316844,-0.002667617,-0.012684042,0.004360418,5.8580616e-05,-0.085159235,0.019112738,0.0019706297,0.0050135218,0.041615143,-0.26536402,-0.4941087,0.0025235163,-0.08228744,-1.541184
-0.17149088,0.0,-0.33614257,-0.082257286,0.019562652,-0.07147377,-0.061867613,-0.88718,0.006750992,-0.03716955,0.0024515595,5.8525944e-05,-0.10485109,0.020778626,-0.013946868,-0.058529865,-0.006241646,-0.4884293,-0.08944645,0.009667438,-0.08243738,-1.6641496
-0.20522031,0.0,0.005154304,-0.030646686,0.025822122,-0.0099638,0.40114662,0.05213705,0.026824063,-0.005307284,0.0027682495,5.897063e-05,-0.14013956,0.05933703,0.046394885,-0.009572784,0.119188115,-0.2680317,0.32388803,-0.002715961,-0.029870532,-0.960062
-0.15887472,0.0,-0.25327894,-0.03806459,0.02365449,-0.046568908,-0.16902,-0.14124453,0.0066573047,-0.025882347,0.0032237624,5.8729853e-05,-0.06832737,0.024326008,-0.002612537,-0.104959615,-0.18627849,-0.418042,-0.21180099,-0.008335912,-0.08207461,-1.4997237
-0.30745462,0.0,-0.33502918,-0.059757695,0.031256866,0.04318716,-0.85714227,-0.18427771,-0.0021599901,-0.022354424,0.006900181,5.8729853e-05,-0.108510226,-0.038840093,-0.0028124289,0.007787731,-0.0007846202,0.0011034324,-0.6892734,0.032818075,-0.21679783,-1.2208083
-0.3061731,0.0,-0.388227,0.031296525,-0.08240689,0.0014523254,-0.4103752,0.098368,-0.006664316,-0.024175406,0.0024502024,5.8924314e-05,-0.10894117,-0.04899806,-0.0028910742,0.033295047,0.010472568,-0.07311396,-0.68850654,-0.033098683,-0.12846106,-1.2626162
-0.18797916,0.0,0.037382834,-0.03439427,-0.15463972,-0.052396987,-0.105844826,-0.04544995,-0.07854227,-0.1071259,-0.022408294,5.8761776e-05,0.18979566,0.008417708,-0.2078091,-0.1138892,-0.18073341,-0.24063277,-0.10730466,-0.008738695,-0.32739943,-0.754171
-0.17028569,0.0,-0.055683564,-0.082397744,0.0479308,-0.12359671,0.2769715,-1.0713217,-0.0067662634,-0.06313674,0.006517442,5.8776168e-05,-0.20973921,0.048665784,0.023065686,0.003799581,0.04344573,-0.3110799,0.25354102,-0.05215186,-0.061283495,-1.2510511
-0.76296866,0.0,0.04603732,-0.018133394,0.015510812,-0.028128175,-0.14879574,-0.11307175,-0.025772016,-0.100797564,0.0019705133,5.880351e-05,-0.056436855,-0.035018522,-0.0052064806,0.017832104,0.004060222,0.100188754,-0.06266625,0.02232922,0.006368313,0.3597971
-0.40302327,0.0,0.054944295,-0.033359677,-0.02828994,-8.473122e-05,-0.40584475,0.06780867,0.0026408164,-0.05934715,-0.023895051,5.896569e-05,-0.0058781216,-0.022239542,-0.16899928,0.013123397,-0.09286345,-0.12189384,-0.8305511,0.013084496,-0.30486593,-0.6837513
-0.68142843,0.0,0.082043074,-0.011943912,0.032060515,-0.079109594,-0.15618816,-0.15607598,-0.033688985,-0.14220403,0.0020564818,5.900742e-05,-0.025610743,0.02078131,-0.0028313864,-0.002658852,0.0027856857,0.18107392,-0.08956504,0.008019717,0.27699152,-0.5419052
-0.6510799,0.0,0.04914754,0.027670708,0.007756624,0.00934823,-0.19376047,0.061597656,-0.011831982,-0.0344232,0.0052679256,5.902269e-05,-0.05896909,0.0058702943,0.020625347,0.08140326,0.015584335,0.14387552,-0.53511673,-0.040093444,-0.19841854,0.28472337
-0.55070037,0.0,0.061203998,0.018418074,0.0055906754,0.031166742,-0.01362991,0.07864595,-0.023884257,-0.032121327,0.004507757,5.8818776e-05,-0.05330757,0.01627148,0.010264123,0.007935062,0.012088515,0.095805116,0.059656817,0.0155537315,0.023788076,0.59300435
-0.38178992,0.0,0.02004209,0.031748105,0.006267493,0.020419616,0.05627317,0.057987783,-0.0055527836,-0.03762031,-0.02265357,5.8729853e-05,0.19518822,0.021596253,0.04958382,0.06771935,0.036014274,0.030722907,-0.0221263,0.016964048,0.0023965077,0.53856325
-0.5623694,0.0,0.07657775,-0.03741433,-0.006496261,-0.12134769,-0.2932335,-0.15483342,0.01438518,-0.020840146,0.00639247,5.8828227e-05,0.055405162,-0.028176699,-0.00983346,0.02776108,0.014639613,0.15927859,-0.5593097,0.011081296,0.22652888,-0.6376602
-0.50115395,0.0,0.053760186,-0.057597898,0.040102538,-0.14382148,-0.49286738,-0.6034172,-0.0047889454,-0.051184006,-0.012224715,5.881296e-05,-0.048836604,0.04761748,-0.04414322,-0.040455505,-0.07818337,-0.053588763,-0.30466244,-0.0011520757,0.18518268,-0.5790598
-0.2964385,0.0,-0.238412,0.037648086,-0.071624056,0.039542824,0.022382554,0.32142195,-0.053361185,-0.010284157,0.002999957,5.8924314e-05,-0.084230565,-0.04061803,0.010335195,0.038586043,0.06461682,0.19788781,-0.012890536,-0.009436905,-0.10908966,-0.93695927
